lane,type,d,v,delta_crash,P_lC,P_nlC
1,1,29,20,1.45,0.11,0.89
1,1,29,21,1.38,0.13,0.87
1,1,29,22,1.32,0.14,0.86
1,1,29,23,1.26,0.15,0.85
1,1,29,24,1.21,0.16,0.84
1,1,29,25,1.16,0.18,0.82
1,1,29,26,1.12,0.19,0.81
1,1,29,27,1.07,0.2,0.8
1,1,29,28,1.04,0.21,0.79
1,1,29,29,1,0.22,0.78
1,1,29,30,0.97,0.24,0.76
1,1,29,31,0.94,0.25,0.75
1,1,29,32,0.91,0.26,0.74
1,1,29,33,0.88,0.27,0.73
1,1,29,34,0.85,0.28,0.72
1,1,30,15,2,0.05,0.95
1,1,30,16,1.88,0.06,0.94
1,1,30,17,1.76,0.07,0.93
1,1,30,18,1.67,0.08,0.92
1,1,30,19,1.58,0.09,0.91
1,1,30,20,1.5,0.11,0.89
1,1,30,21,1.43,0.12,0.88
1,1,30,22,1.36,0.13,0.87
1,1,30,23,1.3,0.14,0.86
1,1,30,24,1.25,0.15,0.85
1,1,30,25,1.2,0.17,0.83
1,1,30,26,1.15,0.18,0.82
1,1,30,27,1.11,0.19,0.81
1,1,30,28,1.07,0.2,0.8
1,1,30,29,1.03,0.21,0.79
1,1,30,30,1,0.22,0.78
1,1,30,31,0.97,0.24,0.76
1,1,30,32,0.94,0.25,0.75
1,1,30,33,0.91,0.26,0.74
1,1,30,34,0.88,0.27,0.73
1,1,31,15,2.07,0.05,0.95
1,1,31,16,1.94,0.06,0.94
1,1,31,17,1.82,0.07,0.93
1,1,31,18,1.72,0.08,0.92
1,1,31,19,1.63,0.09,0.91
1,1,31,20,1.55,0.1,0.9
1,1,31,21,1.48,0.11,0.89
1,1,31,22,1.41,0.12,0.88
1,1,31,23,1.35,0.13,0.87
1,1,31,24,1.29,0.15,0.85
1,1,31,25,1.24,0.16,0.84
1,1,31,26,1.19,0.17,0.83
1,1,31,27,1.15,0.18,0.82
1,1,31,28,1.11,0.19,0.81
1,1,31,29,1.07,0.2,0.8
1,1,31,30,1.03,0.21,0.79
1,1,31,31,1,0.22,0.78
1,1,31,32,0.97,0.23,0.77
1,1,31,33,0.94,0.25,0.75
1,1,31,34,0.91,0.26,0.74
1,1,32,15,2.13,0.04,0.96
1,1,32,16,2,0.05,0.95
1,1,32,17,1.88,0.06,0.94
1,1,32,18,1.78,0.07,0.93
1,1,32,19,1.68,0.08,0.92
1,1,32,20,1.6,0.09,0.91
1,1,32,21,1.52,0.1,0.9
1,1,32,22,1.45,0.11,0.89
1,1,32,23,1.39,0.13,0.87
1,1,32,24,1.33,0.14,0.86
1,1,32,25,1.28,0.15,0.85
1,1,32,26,1.23,0.16,0.84
1,1,32,27,1.19,0.17,0.83
1,1,32,28,1.14,0.18,0.82
1,1,32,29,1.1,0.19,0.81
1,1,32,30,1.07,0.2,0.8
1,1,32,31,1.03,0.21,0.79
1,1,32,32,1,0.22,0.78
1,1,32,33,0.97,0.23,0.77
1,1,32,34,0.94,0.24,0.76
1,1,33,15,2.2,0.04,0.96
1,1,33,16,2.06,0.05,0.95
1,1,33,17,1.94,0.06,0.94
1,1,33,18,1.83,0.06,0.94
1,1,33,19,1.74,0.07,0.93
1,1,33,20,1.65,0.09,0.91
1,1,33,21,1.57,0.1,0.9
1,1,33,22,1.5,0.11,0.89
1,1,33,23,1.43,0.12,0.88
1,1,33,24,1.38,0.13,0.87
1,1,33,25,1.32,0.14,0.86
1,1,33,26,1.27,0.15,0.85
1,1,33,27,1.22,0.16,0.84
1,1,33,28,1.18,0.17,0.83
1,1,33,29,1.14,0.18,0.82
1,1,33,30,1.1,0.19,0.81
1,1,33,31,1.06,0.2,0.8
1,1,33,32,1.03,0.21,0.79
1,1,33,33,1,0.22,0.78
1,1,33,34,0.97,0.23,0.77
1,1,34,15,2.27,0.03,0.97
1,1,34,16,2.13,0.04,0.96
1,1,34,17,2,0.05,0.95
1,1,34,18,1.89,0.06,0.94
1,1,34,19,1.79,0.07,0.93
1,1,34,20,1.7,0.08,0.92
1,1,34,21,1.62,0.09,0.91
1,1,34,22,1.55,0.1,0.9
1,1,34,23,1.48,0.11,0.89
1,1,34,24,1.42,0.12,0.88
1,1,34,25,1.36,0.13,0.87
1,1,34,26,1.31,0.14,0.86
1,1,34,27,1.26,0.15,0.85
1,1,34,28,1.21,0.16,0.84
1,1,34,29,1.17,0.17,0.83
1,1,34,30,1.13,0.18,0.82
1,1,34,31,1.1,0.19,0.81
1,1,34,32,1.06,0.2,0.8
1,1,34,33,1.03,0.21,0.79
1,1,34,34,1,0.22,0.78
1,1,35,15,2.33,0.03,0.97
1,1,35,16,2.19,0.04,0.96
1,1,35,17,2.06,0.05,0.95
1,1,35,18,1.94,0.05,0.95
1,1,35,19,1.84,0.06,0.94
1,1,35,20,1.75,0.07,0.93
1,1,35,21,1.67,0.08,0.92
1,1,35,22,1.59,0.09,0.91
1,1,35,23,1.52,0.1,0.9
1,1,35,24,1.46,0.11,0.89
1,1,35,25,1.4,0.12,0.88
1,1,35,26,1.35,0.13,0.87
1,1,35,27,1.3,0.14,0.86
1,1,35,28,1.25,0.15,0.85
